preprocessing,background_removal_enabled,score_threshold,margin_threshold,n_total,n_known,n_unknown,top1_known,top3_known,top5_known,unknown_rejection,overall_accuracy,approval_rate
bg_removed,True,0.3,0.0,87,70,17,0.5,0.6857142857142857,0.7571428571428571,0.0,0.40229885057471265,1.0
bg_removed,True,0.3,0.005,87,70,17,0.5,0.6857142857142857,0.7571428571428571,0.35294117647058826,0.47126436781609193,0.8275862068965517
bg_removed,True,0.3,0.01,87,70,17,0.5,0.6857142857142857,0.7571428571428571,0.4117647058823529,0.45977011494252873,0.6896551724137931
bg_removed,True,0.3,0.015,87,70,17,0.5,0.6857142857142857,0.7571428571428571,0.5882352941176471,0.47126436781609193,0.5977011494252874
bg_removed,True,0.3,0.02,87,70,17,0.5,0.6857142857142857,0.7571428571428571,0.5882352941176471,0.42528735632183906,0.5057471264367817
bg_removed,True,0.3,0.025,87,70,17,0.5,0.6857142857142857,0.7571428571428571,0.6470588235294118,0.39080459770114945,0.4367816091954023
bg_removed,True,0.3,0.03,87,70,17,0.5,0.6857142857142857,0.7571428571428571,0.7058823529411765,0.40229885057471265,0.40229885057471265
bg_removed,True,0.3,0.035,87,70,17,0.5,0.6857142857142857,0.7571428571428571,0.7058823529411765,0.367816091954023,0.3333333333333333
bg_removed,True,0.3,0.04,87,70,17,0.5,0.6857142857142857,0.7571428571428571,0.7058823529411765,0.3563218390804598,0.3218390804597701
bg_removed,True,0.3,0.045,87,70,17,0.5,0.6857142857142857,0.7571428571428571,0.7647058823529411,0.3563218390804598,0.27586206896551724
bg_removed,True,0.3,0.05,87,70,17,0.5,0.6857142857142857,0.7571428571428571,0.7647058823529411,0.3333333333333333,0.25287356321839083
bg_removed,True,0.3,0.055,87,70,17,0.5,0.6857142857142857,0.7571428571428571,0.7647058823529411,0.3333333333333333,0.25287356321839083
bg_removed,True,0.3,0.06,87,70,17,0.5,0.6857142857142857,0.7571428571428571,0.7647058823529411,0.3218390804597701,0.2413793103448276
bg_removed,True,0.3,0.065,87,70,17,0.5,0.6857142857142857,0.7571428571428571,0.8235294117647058,0.3103448275862069,0.20689655172413793
bg_removed,True,0.3,0.07,87,70,17,0.5,0.6857142857142857,0.7571428571428571,0.8823529411764706,0.28735632183908044,0.16091954022988506
bg_removed,True,0.3,0.075,87,70,17,0.5,0.6857142857142857,0.7571428571428571,0.8823529411764706,0.28735632183908044,0.16091954022988506
bg_removed,True,0.3,0.08,87,70,17,0.5,0.6857142857142857,0.7571428571428571,0.8823529411764706,0.28735632183908044,0.16091954022988506
bg_removed,True,0.3,0.085,87,70,17,0.5,0.6857142857142857,0.7571428571428571,0.8823529411764706,0.27586206896551724,0.14942528735632185
bg_removed,True,0.3,0.09,87,70,17,0.5,0.6857142857142857,0.7571428571428571,0.9411764705882353,0.28735632183908044,0.13793103448275862
bg_removed,True,0.3,0.095,87,70,17,0.5,0.6857142857142857,0.7571428571428571,0.9411764705882353,0.27586206896551724,0.12643678160919541
bg_removed,True,0.3,0.1,87,70,17,0.5,0.6857142857142857,0.7571428571428571,0.9411764705882353,0.26436781609195403,0.10344827586206896
bg_removed,True,0.3,0.105,87,70,17,0.5,0.6857142857142857,0.7571428571428571,0.9411764705882353,0.26436781609195403,0.10344827586206896
bg_removed,True,0.3,0.11,87,70,17,0.5,0.6857142857142857,0.7571428571428571,0.9411764705882353,0.26436781609195403,0.10344827586206896
bg_removed,True,0.3,0.115,87,70,17,0.5,0.6857142857142857,0.7571428571428571,0.9411764705882353,0.25287356321839083,0.09195402298850575
bg_removed,True,0.3,0.12,87,70,17,0.5,0.6857142857142857,0.7571428571428571,0.9411764705882353,0.21839080459770116,0.05747126436781609
bg_removed,True,0.3,0.125,87,70,17,0.5,0.6857142857142857,0.7571428571428571,0.9411764705882353,0.21839080459770116,0.05747126436781609
bg_removed,True,0.3,0.13,87,70,17,0.5,0.6857142857142857,0.7571428571428571,0.9411764705882353,0.20689655172413793,0.034482758620689655
bg_removed,True,0.3,0.135,87,70,17,0.5,0.6857142857142857,0.7571428571428571,0.9411764705882353,0.20689655172413793,0.034482758620689655
bg_removed,True,0.3,0.14,87,70,17,0.5,0.6857142857142857,0.7571428571428571,0.9411764705882353,0.20689655172413793,0.034482758620689655
bg_removed,True,0.3,0.145,87,70,17,0.5,0.6857142857142857,0.7571428571428571,0.9411764705882353,0.20689655172413793,0.034482758620689655
bg_removed,True,0.3,0.15,87,70,17,0.5,0.6857142857142857,0.7571428571428571,0.9411764705882353,0.19540229885057472,0.022988505747126436
bg_removed,True,0.3,0.155,87,70,17,0.5,0.6857142857142857,0.7571428571428571,0.9411764705882353,0.19540229885057472,0.022988505747126436
bg_removed,True,0.3,0.16,87,70,17,0.5,0.6857142857142857,0.7571428571428571,0.9411764705882353,0.19540229885057472,0.022988505747126436
bg_removed,True,0.3,0.165,87,70,17,0.5,0.6857142857142857,0.7571428571428571,0.9411764705882353,0.19540229885057472,0.022988505747126436
bg_removed,True,0.3,0.17,87,70,17,0.5,0.6857142857142857,0.7571428571428571,1.0,0.20689655172413793,0.011494252873563218
bg_removed,True,0.3,0.17500000000000002,87,70,17,0.5,0.6857142857142857,0.7571428571428571,1.0,0.20689655172413793,0.011494252873563218
bg_removed,True,0.3,0.18,87,70,17,0.5,0.6857142857142857,0.7571428571428571,1.0,0.20689655172413793,0.011494252873563218
bg_removed,True,0.3,0.185,87,70,17,0.5,0.6857142857142857,0.7571428571428571,1.0,0.20689655172413793,0.011494252873563218
bg_removed,True,0.3,0.19,87,70,17,0.5,0.6857142857142857,0.7571428571428571,1.0,0.20689655172413793,0.011494252873563218
bg_removed,True,0.3,0.195,87,70,17,0.5,0.6857142857142857,0.7571428571428571,1.0,0.20689655172413793,0.011494252873563218
bg_removed,True,0.3,0.2,87,70,17,0.5,0.6857142857142857,0.7571428571428571,1.0,0.20689655172413793,0.011494252873563218
bg_removed,True,0.31,0.0,87,70,17,0.5,0.6857142857142857,0.7571428571428571,0.0,0.40229885057471265,1.0
bg_removed,True,0.31,0.005,87,70,17,0.5,0.6857142857142857,0.7571428571428571,0.35294117647058826,0.47126436781609193,0.8275862068965517
bg_removed,True,0.31,0.01,87,70,17,0.5,0.6857142857142857,0.7571428571428571,0.4117647058823529,0.45977011494252873,0.6896551724137931
bg_removed,True,0.31,0.015,87,70,17,0.5,0.6857142857142857,0.7571428571428571,0.5882352941176471,0.47126436781609193,0.5977011494252874
bg_removed,True,0.31,0.02,87,70,17,0.5,0.6857142857142857,0.7571428571428571,0.5882352941176471,0.42528735632183906,0.5057471264367817
